,id,votes,category,name,voted,added,url,is_big
113,123,4.0,education,Подаруй дітям радість!,True,13.09.2021,https://lviv.pb.org.ua/projects/123,False
114,124,138.0,education,Облаштування подвір'я ліцею №18 ЛМР,True,13.09.2021,https://lviv.pb.org.ua/projects/124,True
115,125,56.0,other,"Парк 700-річчя. Інклюзивний, баскетбольний, тренажерний майданчик, кінотеатр, відеонагляд.",True,13.09.2021,https://lviv.pb.org.ua/projects/125,True
116,126,72.0,education,ПРОЕКТ МОДЕРНІЗАЦІЇ СПОРТИВНО-АКТОВОГО ЗАЛУ В ЛІЦЕЇ №10,True,13.09.2021,https://lviv.pb.org.ua/projects/126,False
117,127,1795.0,education,Здорове Дихання,True,13.09.2021,https://lviv.pb.org.ua/projects/127,False
118,128,221.0,education,Сучасне безпечне подвір’я СЗШ №40 м. Львова,True,13.09.2021,https://lviv.pb.org.ua/projects/128,False
119,129,24.0,other,"Громадський простір Мазепи 9А, Мазепи7А",True,13.09.2021,https://lviv.pb.org.ua/projects/129,False
120,130,143.0,education,Капітальна реконструкція харчоблоку Ліцею №57. Здорове харчування - здорові діти!,True,13.09.2021,https://lviv.pb.org.ua/projects/130,True
121,131,58.0,other,Дитячий простір на Плуговій 8-8а,True,13.09.2021,https://lviv.pb.org.ua/projects/131,False
122,132,2011.0,education,"Безбар’єрний простір практичної науки ""Puliui Science Hub""",True,14.09.2021,https://lviv.pb.org.ua/projects/132,True
123,133,30.0,other,"Дитячий майданчик ""Веселка"" на Калнишевського,1",True,14.09.2021,https://lviv.pb.org.ua/projects/133,False
124,134,64.0,education,Сучасний безпечний простір для дошкільнят: облаштування подвір'я ЗДО №121,True,14.09.2021,https://lviv.pb.org.ua/projects/134,False
125,135,418.0,education,Шкільне подвір’я СЗШ № 67,True,14.09.2021,https://lviv.pb.org.ua/projects/135,False
126,136,17.0,education,Капітальний ремонт подвір'я Підбірцівського ліцею ЛМР,True,14.09.2021,https://lviv.pb.org.ua/projects/136,False
127,137,24.0,education,Екомайстерня. Нове життя старим речам. Львівська правнича гімназія.,True,14.09.2021,https://lviv.pb.org.ua/projects/137,True
128,138,15.0,education,Влаштування альтанки від сонця та дощу ДНЗ номер 29 вул.Чайковського 22 м.Львів,True,14.09.2021,https://lviv.pb.org.ua/projects/138,False
129,139,12.0,education,Веселий острів для Пізнайок,True,14.09.2021,https://lviv.pb.org.ua/projects/139,False
130,140,48.0,education,Комфортні прогулянки в ЗДО №1,True,14.09.2021,https://lviv.pb.org.ua/projects/140,False
131,141,149.0,education,English Lab_29,True,14.09.2021,https://lviv.pb.org.ua/projects/141,False
132,142,7.0,other,Сучасний спортивно-ігровий майданчик по вул. Городоцька 319 - 317,True,14.09.2021,https://lviv.pb.org.ua/projects/142,False
133,143,,other,Бавимось разом! Облаштування доступного ігрового простору за принципами універсального дизайну.,False,14.09.2021,https://lviv.pb.org.ua/projects/143,False
134,144,402.0,education,"Освітньо-відпочинковий простір ""R.E.A.L. patio""",True,14.09.2021,https://lviv.pb.org.ua/projects/144,True
135,145,365.0,education,"Природнича лабораторія «Discover the world» ліцею ""Львівський"" Львівської міської ради",True,14.09.2021,https://lviv.pb.org.ua/projects/145,False
136,147,26.0,other,Реконструкція дитячого спортивного майданчику,True,14.09.2021,https://lviv.pb.org.ua/projects/147,False
137,148,27.0,other,Облаштування підземних контейнерів для сміття навпроти дитячо-спортивного майданчика на Франка 157а,True,14.09.2021,https://lviv.pb.org.ua/projects/148,True
138,149,300.0,education,Благоустрій внутрішнього шкільного подвір'я СЗШ№86,True,14.09.2021,https://lviv.pb.org.ua/projects/149,False
139,150,19.0,education,Закупівля обладнання для фізкабінету та бактерицидних рецеркуляторів для Дублянської міської лікарні,True,14.09.2021,https://lviv.pb.org.ua/projects/150,False
140,151,28.0,education,Закупівля стаціонарного рентгенівського апарату для Дублянської міської лікарні,True,14.09.2021,https://lviv.pb.org.ua/projects/151,True
141,152,107.0,education,Нова огорожа для ЗДО №154 ЛМР,True,14.09.2021,https://lviv.pb.org.ua/projects/152,True
142,153,251.0,education,Реконструкція харчоблоку у СЗШ № 65,True,14.09.2021,https://lviv.pb.org.ua/projects/153,False
143,154,231.0,education,Реанімобіль для львів'ян,True,14.09.2021,https://lviv.pb.org.ua/projects/154,True
144,155,28.0,other,Дитячо-спортивний майданчик в Рясному,True,14.09.2021,https://lviv.pb.org.ua/projects/155,False
145,156,137.0,education,Оновлений дитячий садок №71 у центрі старого Львова,True,14.09.2021,https://lviv.pb.org.ua/projects/156,True
146,157,,education,Простір здоров'я у Львівському вищому професійному училищі харчових технологій,False,14.09.2021,https://lviv.pb.org.ua/projects/157,False
147,158,15.0,education,Реконструкція спортивного майданчика на задньому дворі у СЗШ № 22 ім. В. Стефаника,True,14.09.2021,https://lviv.pb.org.ua/projects/158,False
148,159,167.0,education,Вестибюль як частина освітнього процесу школи,True,14.09.2021,https://lviv.pb.org.ua/projects/159,False
149,160,85.0,education,Дитячі клуби Львова в Рясне. Створення безкоштовного сучасного та креативного простору для дітей.,True,14.09.2021,https://lviv.pb.org.ua/projects/160,True
150,161,499.0,education,"""Від мрії до дії"" . Модернізація спортивного залу ліцею 93 ЛМР",True,14.09.2021,https://lviv.pb.org.ua/projects/161,False
151,162,45.0,education,"Капітальний ремонт спортивного майданчика на території ЗДО №95 по вул. Гайдамацька, 2-а у м. Львові",True,14.09.2021,https://lviv.pb.org.ua/projects/162,False
152,163,63.0,education,"Радість дитинства-сучасний майданчик ЗДО ""Лісова казка""",True,14.09.2021,https://lviv.pb.org.ua/projects/163,False
153,164,63.0,education,Заміна тіньових навісів (павільйонів) у Дублянському ЗДО (ясла-садок)Львівської міської ради,True,14.09.2021,https://lviv.pb.org.ua/projects/164,False
154,165,11.0,other,Спортивний майданчик «МРІЇ ЗДІЙСНЮЮТЬСЯ»,True,14.09.2021,https://lviv.pb.org.ua/projects/165,False
155,166,237.0,education,НАВЧАЛЬНО-ІГРОВИЙ МАЙДАНЧИК НА БЕЗПЕЧНОМУ ПОДВІР’Ї ШКОЛИ №40,True,14.09.2021,https://lviv.pb.org.ua/projects/166,True
156,167,37.0,other,Капітальний ремонт вул. Хвильового,True,14.09.2021,https://lviv.pb.org.ua/projects/167,True
157,168,724.0,education,Медіатека «I.D.E.A.Lab» та радіо «Сьома хвиля» у СЗШ №7,True,14.09.2021,https://lviv.pb.org.ua/projects/168,False
